до змісту,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,retrieved
ЗА КЛАСИФІКАЦІЄЮ ДОХОДІВ БЮДЖЕТУ,Разом доходів (без урахування міжбюджетних трансфертів),,23556.933589250006,56216.35134838003,84435.51862380005,114346.10923035005,150395.31386495003,177846.59181911004,214114.83982860006,254796.23260159005,286816.61492069,318854.78190101,359221.67700439005,398553.57520621,27876.061027060012,65709.74563860001,98602.37382738003,130189.80236830004,171026.73681448,208801.65917159,240940.79928045,284258.16360497003,317973.63142196,353685.0233536101,395331.36004293006,445525.27207413,30176.011798180007,69960.62971637002,106895.58128703001,137750.53992077004,175384.69457660004,211082.14600477004,247377.68929897007,284596.3294607901,325904.74564122007,362519.5713075001,402223.84204494016,442788.6892906902,32558.67598588,68170.44561131,112208.10401187,152050.39761968,191331.36489877,224527.81889263,255735.5769060103,295751.43147415,333415.11919445,370000.38173868996,408261.53298466996,456067.3235462799,28724.281452350006,74754.06139035997,140264.72225004996,198408.90994272998,249753.47053993,298662.7071038099,351550.01229526993,411742.4658892999,467937.24730829,521291.97655419,584732.11437244,652030.99437356,38127.90363283,91619.98767836002,163436.53208910004,219121.02275901008,280103.7745369301,339502.5543590201,389066.3501907901,465270.93127501005,525258.0565775201,594917.21322727,692032.60263493,782859.48495202,72556.78338005004,142314.45500954008,220492.1546302701,323918.0737126001,408872.9993950301,495971.8937732101,567043.6894025701,667156.6472738301,741170.9247704701,824189.5178394101,924500.9047082802,1016969.5081317301,71327.20593546997,147088.35352402995,248852.78133631998,348525.57532635,468050.16378731,567399.15385638,652069.65664013,769336.80007478,857166.2253116099,952823.9631248099,1074807.5049924299,1184290.7653197898,73927.02152996,167616.08838492006,274786.48323758005,411324.63296793995,540749.9359393,642690.8473320999,744616.87063242,858810.3576240299,950143.4726604898,1047463.22069856,1164019.89228728,1289849.1696763798,72718.74906936001,170664.87172462,280622.82270695,403762.88249847,500402.74221222,653818.1491958,747541.50163226,876392.49291665,976916.8261111398,1082779.19404889,1215252.34065787,1376673.76367571,88014.09673891,193842.32556293,330822.81838456,464175.48717452004,613250.48748266,756809.1364635,875239.1680231801,1049249.40815179,1180103.09114511,1309498.12527455,1485301.42615784,1662242.66695117,117137.41104747,271268.96726706,418465.75522296,527894.9868932801,669315.84042841,809170.88215072,1022509.39864446,1283822.7756486798,1537742.97776971,,,,"11/03/2022, 23:07:46"
,Податкові надходження,10000000,18656.138304160002,49378.13307548001,73045.59199563,97780.56401375,129896.53950426,153705.64078575,179834.40241734002,215333.79386730003,242421.29195612,268532.62261223997,304789.16646979,334691.90349235997,23275.89037006001,56740.35023072001,83560.78491740001,110821.04712356001,147154.24373224,176203.50181070997,201078.51433374998,238015.0771777,263625.50123064,292466.80416398,327788.60919907,360567.21736399,25471.001592270004,58143.27873988001,87643.25688132,114864.30069009,146844.78460898,174198.70218994998,204463.37353229,231930.13208302,262377.01079518,290559.58087094,321176.62574677,353968.12170215003,24807.412081640003,51617.1312475,83519.72990123,114516.62615582,145733.99464122002,173971.97647607,199897.51530712002,229682.48401819,260992.85397826,293139.90916922,326780.21568684,367511.93112837,25441.812841029998,61204.69107837001,112631.12757857001,153618.89708505,194372.05352658,231716.78502714,272344.70648488996,318871.14927483996,359336.37402412,402288.09346900997,452838.97352256,507635.89967881,34440.20371861999,82129.93270851,146940.75388821,196627.80060801,250002.88232471,300905.93696638,345721.34816042,411155.30548199,460551.19580458995,513529.82988101995,585377.5135142499,650781.6785681999,67795.01460287001,129350.23685847002,199335.6757809,255899.197023,327781.31874316,386737.96739992,446168.44505881,530773.63419447,595534.92235454,666390.66254153,751976.11904982,828158.81388599,65343.54281615,133161.1170756,223061.9850394,295751.0086351,387614.0796837,456663.51137587,532957.3861914199,632539.71639298,708919.79224991,795749.4613054999,900024.6785271099,986348.5237871499,66708.66132624,150612.28752012004,246503.36219221004,327452.50210399,429509.7745344101,504448.37456960004,590592.35538225,694395.02448276,774800.15530525,862020.7782290201,969563.06188765,1070321.8408551698,64860.93700533001,153755.37496746,255239.85686512,325132.31200635,414361.30844075,490032.42533867003,575474.30479355,690185.02258729,778427.2951848301,874678.3896146701,992503.2313584001,1136687.1863116398,81646.37896401,178648.08211996,303480.68493058,404197.83409799,533944.41688366,638324.54809052,747263.59091125,904177.6554275601,1017706.5907238399,1134107.1213158602,1295187.60624524,1453804.07564182,107885.76611985,229573.43643960002,324021.903574,401340.61604134005,513502.73615497997,595640.0734816,717132.09111384,846394.17796594,961767.16339993,,,,"11/03/2022, 23:07:46"
,"Податки на доходи, податки на прибуток, податки на збільшення ринкової вартості:",11000000,4368.0309779399995,17864.706370839995,24326.972986679997,31044.216901889995,45492.68887294999,53476.362178009986,61258.329852269984,74726.70160954999,82332.97168153997,90132.17389461998,106141.75988694999,115321.49899570998,5399.09398163,21128.39108771,29295.972196810002,37601.679696160005,51479.91681656,60653.892592079996,67190.20084436,81330.2155708,88984.26826575,98850.03954546002,113263.96297652001,123885.40692552,8867.92605783,24702.981800710004,34621.57749068,43656.14588733,54492.59143515,64764.12035128,75754.03147084001,84169.87267208,95180.36227397999,104551.25153088002,114739.76548007003,127144.91876743003,8721.368712160001,18119.051462540003,31760.56599237,41185.52585889,50605.40389457001,59109.34058755,68627.97999378,77003.28702267,86083.34726611001,95388.67506583002,104551.33227895,115404.43102159,8041.01568159,18271.20782678,37095.7972305,48122.46634726,58234.05729354,69222.01530995,79996.00577848,90819.97293512,101627.70739688,113039.19141245999,124629.60150805,139036.34262928,8519.486085870001,20354.31298259,44874.517099000004,57782.10376714001,76430.40962124002,89747.97347044002,103472.50764693003,125519.43043779003,138453.34142007004,151314.2978778,175275.72898652003,199005.01804006,11555.96230028,34381.18175691,53459.19312167,69480.50222724001,99411.76405170001,119447.28101172001,137200.89696097,168108.70003935002,184978.29588422002,202607.85743733,235139.53029547003,259082.9344527,16275.86921561,39724.00602872,80628.16836432001,99497.80325426001,140254.97635990003,162749.93674748004,184691.15106340003,224078.08267074003,245339.88812302,266847.14654414,308891.53729939,336082.95195214,20481.261590910002,47335.560433449995,91788.09128180999,116150.75945988,159175.29757155007,186546.86096502,212808.72175068,258346.83416303003,282294.02650253003,308111.80792849,356918.9569564701,392775.2331926501,23220.5702519,54566.41354558,105152.55326861,128789.58580567999,169570.20381741997,194857.09106512,219964.74100767,263547.80808696,290923.16319275,318460.96629889,365848.29078532,413579.03427314,22522.81972491,54481.48789211,108807.46223887,139783.04695426,198781.05801305998,235663.46465948,267289.37913434,336436.72344261,367981.55261652,400660.59334826004,470796.05367495003,513629.96189413,26859.36275241,69924.81546821001,126167.09777187,160099.60200201,214279.86304596,254418.89768383998,295641.70518805,352054.21087424,391224.9967615,,,,"11/03/2022, 23:07:46"
,Податок та збір на доходи фізичних осіб,11010000,3401.6938392299994,8073.576100839997,12802.964330749997,17847.099569839993,22397.606666959997,27830.381884429993,33096.26610296999,38095.93673448,43275.65727169999,48428.685800849984,53822.02449184999,60224.52194527998,4451.13360518,9567.349987619999,14918.563862470002,20569.709186070002,25899.18617342,31948.722053389996,37871.30123392,43547.67150525,49186.71550476999,55148.83664656001,61066.16087472999,68092.38836467998,4909.13913426,10321.417913280002,15970.512093189998,22241.438640299995,27669.07408776,33939.073065829994,40618.98317811,46531.105700379994,52417.59839834998,58446.91113200001,64615.331709030004,72151.07238304002,5043.678511700001,10430.715732460003,16176.29543713,22238.053648390003,27807.983944190008,34099.93758279,40299.9745398,46087.52759291,52777.005703450006,59706.82106032001,66433.90326865998,75202.94534239,5832.9339106,12896.364679029999,20496.903819289997,28675.882301209997,36170.85217951999,44718.99698545999,53508.28694426999,61646.354373029986,70115.25122487,79132.44981301998,88154.79911922998,99983.17398315998,7981.159095140001,17915.43898777,28740.372738230002,40188.237951560004,50471.53635178001,62612.81320497,74888.74058888,86521.07116443999,98415.51333088998,110354.51539257997,122690.8854022,138781.78655011998,11063.98655687,24577.228240070002,38961.214371500006,53742.90887982,67950.25496132,84615.71649425,100604.32752965999,116058.68801943999,131892.73094878998,148030.33820569995,164631.56519082998,185686.13159310995,14570.42522512,31440.27869659,48890.855928460005,66804.44657649,84963.86686981,105635.58198237,125576.11821403999,144731.81494162,163756.37849098997,183763.10092506,204707.93389097,229900.60443173,17887.497434650002,38652.92950097,59959.038965279986,82434.30809836999,104090.82455571005,128438.39548108999,153761.12627618,176346.32410364,198952.23527715998,222221.92173173,245951.84215411005,275458.45822632,20734.13127381,44168.95543847999,68795.52786465999,90299.85662192001,110813.25529876,135293.2860736,159555.09886354,183142.96504352998,209733.44267614,235749.31492464003,261485.27342205,295107.27454079996,21723.35453843,47752.05268327,74620.77348039,103483.06191725,129460.27431816999,161073.57266237,190440.37722181,218682.79129633,248506.04578081,278481.54910084,309073.78824155,349785.47663642,25461.58090429,59322.999407819996,86043.33088719001,113568.8487083,145461.32038304,182105.97869444,217975.78899424,255070.14106751,292640.24984662,,,,"11/03/2022, 23:07:46"
,Податок на прибуток підприємств,11020000,966.3371387099999,9791.13027,11524.00865593,13197.11733205,23095.08220599,25645.980293579996,28162.063749299996,36630.764875069995,39057.31440983999,41703.48809376999,52319.7353951,55096.977050429996,947.9603764500001,11561.041100090002,14377.408334340002,17031.970510090003,25580.730643140003,28705.170538690003,29318.899610440003,37782.54406555,39797.55276098,43701.2028989,52197.80210179,55793.01856084,3958.78692357,14381.563887430004,18651.065397490005,21414.707247030005,26823.517347390003,30825.047285450004,35135.04829273,37638.7669717,42762.76387563001,46104.340398880006,50124.43377104001,54993.84638439,3677.6902004599997,7688.33573008,15584.27055524,18947.4722105,22797.41995038,25009.403004760003,28328.005453980004,30915.759429760004,33306.34156266,35681.85400551,38117.42901029,40201.4856792,2208.08177099,5374.843147750001,16598.893411210003,19446.584046050004,22063.205114020006,24503.018324490004,26487.718834210005,29173.618562090007,31512.456172010006,33906.74159944001,36474.802388820004,39053.16864612001,538.3269907299999,2438.87399482,16134.144360769998,17593.86581558,25958.87326946,27135.16026547,28583.767058049998,38998.35927335,40037.82808918,40959.78248522,52584.84358432,60223.23148994,491.97574341000006,9803.95351684,14497.978750169998,15737.59334742,31461.50909038,34831.56451747,36596.569431309996,52050.01201991,53085.56493543,54577.519231629994,70507.96510464,73396.80285959,1705.44399049,8283.72733213,31737.312435859996,32693.35667777,55291.109490090006,57114.354765110016,59115.03284936001,79346.26772912001,81583.50963203,83084.04561908,104183.60340842001,106182.34752041001,2593.76415626,8682.63093248,31829.052316530004,33716.45136151001,55084.47301584002,58108.46548393001,59047.59547450001,82000.51005939001,83341.79122537002,85889.88619676,110967.11480235998,117316.77496633002,2486.4389780899996,10397.458107100001,36357.02540395,38489.72918375999,58756.948518659985,59563.80499152,60409.64214413,80404.84304343,81189.72051661,82711.65137425,104363.01736327,118471.75973234,799.46518648,6729.43520884,34186.68875848,36299.98503701,69320.78369489,74589.89199711,76849.00191253,117753.93214628,119475.50683571001,122179.04424742,161722.2654334,163844.48525770998,1397.78184812,10601.81606039,40123.76688468,46530.75329371,68818.54266292,72312.9189894,77665.91619381,96984.06980673,98584.74691488,,,,"11/03/2022, 23:07:46"
,"Рентна плата та плата за використання інших природних ресурсів, з них:",13000000,817.97946652,2201.4327479500007,3194.7475713200006,4132.11437472,5872.43831878,6855.49537712,7915.135989760001,9833.532714710002,10830.074913580002,11886.828472500001,13787.10343003,14826.4100213,945.2596068000001,2888.48288173,4010.62402476,5113.537201249999,7095.60192657,8297.68838173,9803.53638023,11987.78393564,13100.301913309999,14228.43062107,16341.651318200002,17537.352224759998,1048.9382660399997,4111.65163175,6421.107712700001,8695.888906780001,11462.668715310001,13660.82606631,16039.558929400002,19156.9733615,21361.22514198,23619.22803834,26653.409264550002,28862.96446635,2104.1395657,4957.28816081,7198.033372389999,9618.259748999999,12443.222057129999,14755.926287809998,17338.178579199997,20755.93419737,23042.39535091,25754.391158939998,29499.17943474,33596.69183798,2092.4328763899994,3284.0855340199996,4477.33736395,6497.981603079999,12202.806176479999,14213.356985489998,16584.050748139998,20910.00172248,23456.42294622,26522.76993332,32327.49568087,41958.19005833,2124.5563625,8039.70762816,13158.11984829,16386.80883671,19064.97702369,20754.24094294,23612.309705339998,28075.222246629997,31329.87369523,34302.456795859995,39193.74489087999,46608.39827433999,5525.374908930001,12946.07968568,20907.672490420002,22622.9515022,25435.27418384,26820.3420583,28291.8498857,36863.94057279,41357.48102919,43195.34270552,46211.95453257,51132.329000950005,1844.05033898,5238.8966669599995,10125.24541987,11975.85128999,17336.110135670002,21200.829247920003,24588.856054270003,30376.204413710002,34476.55971694,38633.98319803,44744.4959078,50086.888794219994,4347.10682737,9915.168441110003,13862.241592000004,18091.117860450002,23783.09905403,28071.908511990005,31254.439830470004,36280.82165532,39362.242775670005,42266.84398436,47283.045108840015,52024.86044425001,1273.67995673,5657.201045290001,8126.7993465399995,10406.293585129999,13886.151097750002,15576.483580899998,17529.962651560003,22937.24051282,25075.134105749996,27569.99952193,33110.97913173,57112.60626406,3342.20255993,9857.50018913,13589.80546224,17249.424022580002,23749.88934671,28134.94904652,33060.753195389996,41211.6890356,46943.41880091,49407.05983594,58068.95044653,89318.53994480001,6972.760770729999,16531.04948781,25348.40917784,32517.672513669997,46427.67671635,49705.84366425,53814.306495690005,63731.1691411,71391.86825464999,,,,"11/03/2022, 23:07:46"
,Рентна плата за користування надрами,13030000,17.99461822,357.33883616,392.17012014000005,427.0869532400001,1052.9133083300003,1100.0424128000002,1135.8869264400003,1733.9066907400002,1796.88451,1906.43545554,2605.8444993500007,2683.9501842600002,35.56748016,696.17455892,733.02703983,791.36881277,1473.2860780800002,1620.18593762,1680.0571574200003,2310.0618159000005,2358.4403536400005,2404.049292110001,3146.7925923500006,3271.59817054,31.936672120000004,1726.3020857,2929.62205469,4082.9087049,5495.80730665,6602.07949517,7739.625525560001,9258.17734226,10356.34364553,11487.103395119999,13110.60131486,14225.339818069999,1085.64677503,2511.12711846,3725.21258644,5090.74471841,6620.215898840001,7891.849247510001,9295.1269687,11186.42580805,12451.59308636,14144.94122045,16571.66800531,19620.441326,1132.5548822499998,2513.0640226199994,3504.4772024899994,5285.719647319999,10438.689761149999,12230.634402709999,14329.997118219999,18132.33101434,20473.54706954,23309.29499842,28585.75339477,38008.2798867,1986.28216469,7348.617897800001,11956.83433548,14790.95090175,16632.74405786,17955.469924700003,20441.44934763,24054.776305680003,26948.527262970005,29559.634455400002,33726.491223540004,40780.812593560004,5268.44517961,12004.391884969999,19530.85558235,20913.73216083,22934.75849847,23953.13145168,25033.906149510003,32719.311149980003,36886.71704897001,38331.48425737001,40377.015499190005,44978.65260177001,1389.33521231,3900.6629882299994,8366.131532649999,9834.784391129999,14326.298658189999,17806.79431885,20785.76381756,25552.824712370002,29219.88822936,33015.51279539,38106.69423107,43045.34360005,3979.7648241499996,8592.624571280001,12132.760357860001,15983.71750228,20785.69207269,24695.878130070003,27481.464478960002,31518.353102760004,34195.23165673,36668.95705693,40592.483973340015,44938.89417357,887.81884424,4248.16635742,6298.650331749999,8230.22422963,10864.63064781,12246.72949984,13657.21965365,18133.48747742,19899.94863632,22010.81113763,26489.694428709998,50115.11393732,2953.177662039999,8375.807051509999,11732.089940469998,14990.690986039997,20695.950909319996,24698.060298649994,29203.479239859993,36417.21919896999,41757.121548519994,43822.714275449995,51531.365995119995,82415.73046579999,6566.961335010001,15183.51739191,23680.262597459998,30535.543599039996,43798.47690017,46789.98545353999,50589.59919614,59658.04011399,67039.43024365,,,,"11/03/2022, 23:07:46"
,"Внутрішні податки на товари та послуги, з них:",14000000,12422.030959870002,23428.300197150005,36243.962399000004,50187.29703858001,62402.06582231,74399.68732535,88850.17171084,105146.80176904,120209.93485421999,134282.01291626,148388.99007456002,164012.93150939,13606.58859986,25740.856111009998,39692.00341921,53516.03569954,70142.14906637999,85914.02031734,99614.21228414,116363.11932072,130196.22054472,144783.41200906,159661.25885367,177255.57234814,12998.39387576,23649.551588870003,38624.619691160005,51974.70936778001,67137.07839074,79853.09783441,93809.8732521,106338.52926048002,121423.86121828003,135785.19449043,149292.18584602,164937.49468939,11478.58538705,22523.95806414,35557.76727388,52075.45124401,67733.49784277,83244.04021144,94533.64155209,109155.90436213,126694.06777205001,144001.29840024002,161259.22055287,184123.83374632002,12763.118290049999,31556.58232401,56662.65187211001,78232.96888876,96861.61031334,115996.21555959,136637.72253541,160223.54886628,180793.78604712003,201751.85371049002,226496.26932234003,249247.61161429004,19978.19188279,43743.51052006,74234.65497742,102377.07890929,128767.23472901998,160466.09420470998,182661.76268351,213866.90393434998,242092.55252265,272562.83816802,308363.86286815,337256.69161144004,45027.59538426,68479.26441861999,106045.05840743,138467.36900178998,170224.31677477996,202853.62140941995,235883.60170847998,272207.54408723,309881.9151343,352495.90868828003,394066.08784119005,435430.03009525005,39760.82216900001,72093.38626692002,110653.36428879002,155465.65351232002,193021.01308103002,230517.09836036002,273109.39417313,317530.6848639,362383.17932543,413361.04096275,459821.16920731997,507157.99617621,33194.56933897,73486.87610177,114392.52650697003,158076.96830142,201158.06225551,238211.8433879,284545.43139087,326377.45787701,372669.96037458,419744.52064187,462694.56859237,515766.57953379,30962.975357520005,72777.4356413,115289.23017699999,153113.05525897,189100.78781294002,230702.76663725998,278167.11206044,332412.58526584005,383337.21771724994,437204.7402997,490419.52366794,554450.38675315,46270.598645620004,91973.30494316001,150667.59915031,205832.23803176,258374.14506804998,313422.83659596,372931.73435397,438357.45463844,505734.29110349,573573.40481844,642123.53996712,716789.49305078,62109.1073725,117624.81952169,143468.20786848,173388.00123072,209124.4931021,242397.7131511,307378.98568584,359462.60649020004,418908.07735990995,,,,"11/03/2022, 23:07:46"
,"Акцизний податок з вироблених в Україні підакцизних товарів (продукції), включаючи особливий податок на операції з відчуження цінних паперів та операцій з деривативами",14020000,2387.8404771500004,3595.7722627500007,5419.06892804,7589.67457403,9641.53812823,11784.513066110001,14281.321405760002,16777.984776740002,19515.00748983,21870.045301650003,24081.83401786,26097.121272500004,2552.48903741,4080.4079558600006,5915.998749560001,8002.43125942,11003.24612029,13732.78184413,16502.35905384,19254.648327479998,21793.33544073,24141.51256653,26413.52647761,28660.97528899,2748.0350327400006,5160.52658093,7623.783884760001,10292.083258980001,12610.23538523,14745.28194159,17116.962313519998,19315.491137809997,21668.56005086,23471.24773827,25809.9104769,27721.345705950003,2095.8383164600004,3986.0996677900002,5397.1049169,7585.472694959999,10221.20702255,12781.234420699999,15277.072058159998,18157.030565129997,20953.179454159996,23440.753458389998,25727.987241559997,28244.189993779994,1934.4758933800003,4740.281969060001,7650.385828610001,10792.157804100001,14039.226333190001,17460.130186410002,21012.53221407,24181.12555393,27668.32179207,31105.86398212,34650.96951332,38783.76432444,3541.26065692,7852.450228349999,12020.402916359999,16270.906321229999,20791.66960436,25274.980441379998,30032.589949609996,34893.53780425999,39653.23422795999,44894.070683039994,50038.60531119,55116.25466539,4549.566156360001,9954.71157213,15304.28011692,21036.96442389,25985.89570192,31326.621398979998,37053.48067259,42792.904016839995,48970.413815659995,55419.92174622999,61813.42418179,67774.16934712,4985.62998753,8908.05851097,13733.689869130001,18523.239719060002,23291.63747284,29325.87398241,36394.761995450004,43154.14129367,50338.99995926,57416.36121983999,64801.07936744,72695.50208593,3748.63140635,7690.76208758,12822.757065220001,18677.27955644,25057.331029240002,31856.6008479,38246.150355620004,44475.30838042001,51365.23243466001,57959.870267419996,63329.08705069001,71343.47295559001,3475.1307880599993,8838.14861916,15412.53833163,22431.019437000003,29632.44203647,36611.840193230004,44203.823108660006,51263.465357889996,58861.639575099995,66575.25784198,73669.41049542,82314.86031776,3849.03839845,9342.1521556,15270.825752469998,22577.51239792,29273.632040880002,36521.78518497,44340.1405084,51856.630034480004,59637.32138547,68116.21117437999,76430.90114153999,85044.32985067999,3917.3671832600003,8828.63353664,10197.28834833,12094.167302,16103.87188367,23205.145097790002,28224.52467034,34218.002653740004,41807.7191699,,,,"11/03/2022, 23:07:46"
