,iso3,countryname,adm1_pcode,adm1_name,Population,NoHealthFacilities,OrgCount,PeopleReached,ClustersPresent,retrieved
1,UKR,Ukraine,UA01,Avtonomna Respublika Krym,1941905,758,,,,"11/03/2022, 22:30:08"
2,UKR,Ukraine,UA71,Cherkaska,1188508,345,92,263094,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
3,UKR,Ukraine,UA74,Chernihivska,982752,185,131,477499,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
4,UKR,Ukraine,UA73,Chernivetska,898567,315,125,441281,"Camp Coordination & Camp Management,Education,Food Security and Livelihoods,Health,Logistics,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
5,UKR,Ukraine,UA12,Dnipropetrovska,3173339,1041,213,768589,"Coordination and Common Services,Emergency Telecommunications,Education,Food Security and Livelihoods,Health,Logistics,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
6,UKR,Ukraine,UA14,Donetska,4118923,1191,137,601948,"Coordination and Common Services,Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
7,UKR,Ukraine,UA26,Ivano Frankivska,1365371,693,109,375226,"Camp Coordination & Camp Management,Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
8,UKR,Ukraine,UA63,Kharkivska,2642825,968,145,2070173,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
9,UKR,Ukraine,UA65,Khersonska,1026481,255,56,92456,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
10,UKR,Ukraine,UA68,Khmelnytska,1251539,397,87,154604,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
11,UKR,Ukraine,UA35,Kirovohradska,926694,249,106,519988,"Coordination and Common Services,Education,Food Security and Livelihoods,Health,Logistics,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
12,UKR,Ukraine,UA80,Kyivska,2926053,2000,135,671900,"Coordination and Common Services,Emergency Telecommunications,Education,Food Security and Livelihoods,Health,Logistics,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
13,UKR,Ukraine,UA32,Kyivska,1775265,839,139,726612,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
14,UKR,Ukraine,UA44,Luhanska,2131316,538,71,318758,"Coordination and Common Services,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
15,UKR,Ukraine,UA46,Lvivska,2493714,1342,175,846207,"Camp Coordination & Camp Management,Coordination and Common Services,Emergency Telecommunications,Education,Food Security and Livelihoods,Health,Logistics,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
16,UKR,Ukraine,UA48,Mykolaivska,1119147,257,101,545773,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
17,UKR,Ukraine,UA51,Odeska,2366170,791,117,489739,"Education,Food Security and Livelihoods,Health,Logistics,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
18,UKR,Ukraine,UA53,Poltavska,1379140,477,113,583976,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
19,UKR,Ukraine,UA56,Rivnenska,1151901,299,87,351115,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
20,UKR,Ukraine,UA85,Sevastopol,391460,347,,,,"11/03/2022, 22:30:08"
21,UKR,Ukraine,UA59,Sumska,1066055,320,101,591649,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
22,UKR,Ukraine,UA61,Ternopilska,1035444,472,96,352351,"Education,Food Security and Livelihoods,Health,Logistics,Multi-purpose Cash,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
23,UKR,Ukraine,UA05,Vinnytska,1538331,644,119,395394,"Camp Coordination & Camp Management,Coordination and Common Services,Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
24,UKR,Ukraine,UA07,Volynska,1028693,326,82,294905,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
25,UKR,Ukraine,UA21,Zakarpatska,1250958,324,115,561796,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
26,UKR,Ukraine,UA23,Zaporizka,1686612,348,140,584573,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Nutrition,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
27,UKR,Ukraine,UA18,Zhytomyrska,1208981,386,87,394030,"Education,Food Security and Livelihoods,Health,Multi-purpose Cash,Shelter/NFI,Protection,WASH","11/03/2022, 22:30:08"
