,People affected,Internally Displaced,Refugees,"Civilian deaths, confirmed","Civilians injured, confirmed",Attacks on Education Facilities,Attacks on Health Care,Date
0,18000000.0,,1000000,249.0,553.0,,,2022-03-03
1,18000000.0,,1200000,331.0,675.0,,,2022-03-04
2,18000000.0,,1300000,351.0,707.0,,,2022-03-05
3,18000000.0,,1500000,364.0,759.0,,,2022-03-06
4,18000000.0,,1700000,406.0,801.0,,,2022-03-07
5,18000000.0,,2000000,474.0,861.0,,,2022-03-08
6,18000000.0,,2100000,516.0,908.0,,,2022-03-09
7,18000000.0,,2300000,549.0,957.0,,,2022-03-10
8,18000000.0,,2500000,564.0,982.0,,,2022-03-11
9,18000000.0,,2600000,579.0,1002.0,,,2022-03-12
10,18000000.0,,2700000,596.0,1067.0,,,2022-03-13
11,18000000.0,1900000.0,2800000,636.0,1125.0,,,2022-03-14
12,18000000.0,1900000.0,3000000,691.0,1143.0,,,2022-03-15
13,18000000.0,1900000.0,3100000,780.0,1252.0,,,2022-03-16
14,18000000.0,1900000.0,3200000,816.0,1333.0,,,2022-03-17
15,18000000.0,6500000.0,3400000,902.0,1459.0,,,2022-03-20
16,18000000.0,6500000.0,3400000,925.0,1496.0,518,,2022-03-21
17,18000000.0,6500000.0,3500000,953.0,1557.0,518,,2022-03-22
18,18000000.0,6500000.0,3600000,977.0,1594.0,548,64.0,2022-03-23
19,18000000.0,6500000.0,3600000,1035.0,1650.0,548,72.0,2022-03-24
20,18000000.0,6500000.0,3700000,1081.0,1707.0,548,72.0,2022-03-25
21,18000000.0,6500000.0,3700000,1081.0,1707.0,570,72.0,2022-03-26
22,18000000.0,6500000.0,3700000,1119.0,1790.0,570,72.0,2022-03-27
23,18000000.0,6500000.0,3900000,1151.0,1824.0,570,72.0,2022-03-28
24,18000000.0,6500000.0,3900000,1179.0,1860.0,733,74.0,2022-03-29
25,18000000.0,6500000.0,4000000,1189.0,1901.0,773,82.0,2022-03-30
26,18000000.0,6500000.0,4100000,1232.0,1935.0,773,82.0,2022-03-31
27,18000000.0,7138715.0,4100000,1276.0,1981.0,859,82.0,2022-04-01
28,18000000.0,7138715.0,4100000,1325.0,2017.0,859,82.0,2022-04-02
29,18000000.0,7138715.0,4100000,1417.0,2038.0,859,82.0,2022-04-03
30,18000000.0,7138715.0,4200000,1430.0,2097.0,869,85.0,2022-04-04
31,18000000.0,7138715.0,4200000,1480.0,2195.0,869,91.0,2022-04-05
32,18000000.0,7138715.0,4300000,1563.0,2213.0,930,91.0,2022-04-06
33,18000000.0,7138715.0,4300000,1611.0,2227.0,930,103.0,2022-04-07
34,18000000.0,7138715.0,4400000,1626.0,2267.0,928,103.0,2022-04-08
35,18000000.0,7138715.0,4400000,1766.0,2383.0,928,103.0,2022-04-09
36,18000000.0,7138715.0,4500000,1793.0,2439.0,928,108.0,2022-04-10
37,18000000.0,7138715.0,4500000,1842.0,2493.0,928,108.0,2022-04-11
38,18000000.0,7138715.0,4600000,1892.0,2558.0,928,119.0,2022-04-12
39,18000000.0,7138715.0,4700000,1932.0,2589.0,957,119.0,2022-04-13
40,18000000.0,7138715.0,4700000,1964.0,2613.0,957,125.0,2022-04-14
41,18000000.0,7138715.0,4700000,1982.0,2615.0,957,125.0,2022-04-15
42,18000000.0,7138715.0,4800000,1982.0,2651.0,957,125.0,2022-04-16
43,18000000.0,7707000.0,4800000,1982.0,2651.0,957,125.0,2022-04-17
44,18000000.0,7707000.0,4900000,2072.0,2818.0,957,136.0,2022-04-18
45,18000000.0,7707000.0,5000000,2104.0,2862.0,1071,150.0,2022-04-19
46,18000000.0,7707000.0,5000000,2224.0,2897.0,1071,162.0,2022-04-20
47,18000000.0,7707000.0,5100000,2345.0,2919.0,1237,164.0,2022-04-21
48,18000000.0,7707000.0,5200000,2435.0,2946.0,1237,164.0,2022-04-22
49,18000000.0,7707000.0,5200000,2665.0,3053.0,1237,164.0,2022-04-25
50,18000000.0,7707000.0,5300000,2729.0,3111.0,1499,164.0,2022-04-26
51,18000000.0,7707000.0,5300000,2787.0,3152.0,1499,175.0,2022-04-27
52,18000000.0,7707000.0,5400000,2829.0,3180.0,1499,175.0,2022-04-28
53,18000000.0,7707000.0,5400000,2899.0,3235.0,1499,177.0,2022-04-29
54,18000000.0,7707000.0,5400000,2899.0,3235.0,1499,180.0,2022-04-30
55,18000000.0,7707000.0,5600000,3153.0,3316.0,1499,186.0,2022-05-02
56,18000000.0,8029000.0,5600000,3193.0,3353.0,1499,186.0,2022-05-03
57,18000000.0,8029000.0,5700000,3238.0,3397.0,1499,186.0,2022-05-04
58,18000000.0,8029000.0,5700000,3280.0,3451.0,1499,191.0,2022-05-05
59,18000000.0,8029000.0,5700000,3309.0,3493.0,1499,195.0,2022-05-06
60,18000000.0,8029000.0,5800000,3309.0,3493.0,1499,200.0,2022-05-07
61,18000000.0,8029000.0,5800000,3381.0,3680.0,1499,200.0,2022-05-09
62,18000000.0,8029000.0,5900000,3459.0,3713.0,1499,203.0,2022-05-10
63,18000000.0,8029000.0,5900000,3496.0,3760.0,1635,209.0,2022-05-11
64,18000000.0,8029000.0,6000000,3541.0,3785.0,1635,212.0,2022-05-12
65,18000000.0,8029000.0,6000000,3573.0,3816.0,1635,214.0,2022-05-13
66,18000000.0,8029000.0,6100000,3668.0,3896.0,1635,218.0,2022-05-16
67,18000000.0,8029000.0,6300000,3752.0,4062.0,1635,226.0,2022-05-17
68,18000000.0,8029000.0,6300000,3778.0,4186.0,1748,235.0,2022-05-18
69,18000000.0,8029000.0,6400000,3811.0,4278.0,1748,235.0,2022-05-19
70,18000000.0,8029000.0,6400000,3838.0,4351.0,1748,236.0,2022-05-20
71,18000000.0,7134000.0,6400000,3930.0,4532.0,1748,248.0,2022-05-23
72,18000000.0,7134000.0,6600000,3942.0,4591.0,1748,248.0,2022-05-24
73,18000000.0,7134000.0,6600000,3974.0,4654.0,1748,253.0,2022-05-25
74,18000000.0,7134000.0,6700000,3998.0,4693.0,1837,256.0,2022-05-26
75,18000000.0,7134000.0,6700000,4031.0,4735.0,1837,263.0,2022-05-27
76,18000000.0,7134000.0,6700000,4074.0,4826.0,1837,263.0,2022-05-30
77,18000000.0,7134000.0,6800000,4113.0,4916.0,1837,269.0,2022-05-31
78,18000000.0,7134000.0,6800000,4149.0,4945.0,1837,269.0,2022-06-01
79,18000000.0,7134000.0,6800000,4169.0,4982.0,1837,269.0,2022-06-02
80,18000000.0,7134000.0,7000000,4183.0,5014.0,1888,269.0,2022-06-03
81,18000000.0,7134000.0,7000000,4253.0,5141.0,1888,271.0,2022-06-06
82,18000000.0,7134000.0,7000000,4183.0,5014.0,1888,290.0,2022-06-07
83,18000000.0,7134000.0,7000000,4266.0,5178.0,1888,290.0,2022-06-08
84,18000000.0,7134000.0,7300000,4302.0,5217.0,1888,295.0,2022-06-09
85,18000000.0,7134000.0,7400000,4339.0,5246.0,1888,295.0,2022-06-10
86,18000000.0,7134000.0,7400000,4395.0,5390.0,1888,295.0,2022-06-13
87,18000000.0,7134000.0,7400000,4432.0,5499.0,1888,295.0,2022-06-14
88,18000000.0,7134000.0,7400000,4452.0,5531.0,1888,295.0,2022-06-15
89,18000000.0,7134000.0,7600000,4481.0,5565.0,1888,295.0,2022-06-16
90,18000000.0,7134000.0,7700000,4509.0,5585.0,1888,295.0,2022-06-17
91,18000000.0,7134000.0,7700000,4569.0,5691.0,1888,295.0,2022-06-20
92,18000000.0,7134000.0,7700000,4597.0,5711.0,1888,308.0,2022-06-21
93,18000000.0,7134000.0,7700000,4634.0,5769.0,2172,316.0,2022-06-22
94,18000000.0,6275000.0,8000000,4662.0,5803.0,2172,316.0,2022-06-23
95,18000000.0,6275000.0,8000000,4677.0,5829.0,2172,323.0,2022-06-24
96,18000000.0,6275000.0,8000000,4731.0,5900.0,2172,323.0,2022-06-27
97,18000000.0,6275000.0,8400000,4731.0,5900.0,"2,212",323.0,2022-06-29
98,18000000.0,6275000.0,8400000,4731.0,5900.0,"2,212",330.0,2022-06-30
99,18000000.0,6275000.0,8400000,4731.0,5900.0,"2,212",333.0,2022-07-01
100,18000000.0,6275000.0,8400000,4889.0,6263.0,"2,212",339.0,2022-07-04
101,18000000.0,6275000.0,8400000,4889.0,6263.0,"2,212",348.0,2022-07-05
102,18000000.0,6275000.0,8400000,4889.0,6263.0,"2,212",352.0,2022-07-06
103,18000000.0,6275000.0,8400000,4889.0,6263.0,"2,212",359.0,2022-07-07
104,18000000.0,6275000.0,8800000,4889.0,6263.0,2315,359.0,2022-07-08
105,18000000.0,6275000.0,8800000,4889.0,6263.0,2315,369.0,2022-07-09
106,18000000.0,6275000.0,8800000,4889.0,6263.0,2315,371.0,2022-07-10
107,18000000.0,6275000.0,8800000,5024.0,6520.0,2315,371.0,2022-07-12
108,18000000.0,6275000.0,8800000,5024.0,6520.0,2315,380.0,2022-07-13
109,18000000.0,6275000.0,8800000,5024.0,6520.0,2315,380.0,2022-07-14
110,18000000.0,6275000.0,8800000,5024.0,6520.0,2315,385.0,2022-07-15
111,18000000.0,6275000.0,9200000,5110.0,6752.0,2315,387.0,2022-07-18
112,18000000.0,6275000.0,9200000,5110.0,6752.0,2315,390.0,2022-07-19
113,18000000.0,6275000.0,9600000,5110.0,6752.0,2315,401.0,2022-07-21
114,18000000.0,6645000.0,9600000,5110.0,6752.0,2315,401.0,2022-07-23
115,18000000.0,6645000.0,9600000,5237.0,7035.0,2315,399.0,2022-07-26
116,18000000.0,6645000.0,9600000,5237.0,7035.0,2315,399.0,2022-07-27
117,18000000.0,6645000.0,9600000,5237.0,7035.0,2420,399.0,2022-07-28
118,18000000.0,6645000.0,9600000,5237.0,7035.0,2420,399.0,2022-08-01
119,18000000.0,6645000.0,10290039,5327.0,7257.0,2420,399.0,2022-08-02
120,18000000.0,6645000.0,6307137,5327.0,7257.0,2420,399.0,2022-08-04
121,18000000.0,6645000.0,6307137,5327.0,7257.0,2420,399.0,2022-08-08
122,18000000.0,6645000.0,6307137,5401.0,7466.0,2420,399.0,2022-08-09
123,18000000.0,6645000.0,6307137,5401.0,7466.0,2420,445.0,2022-08-10
124,18000000.0,6645000.0,6307137,5401.0,7466.0,2420,445.0,2022-08-11
125,18000000.0,6645000.0,6307137,5401.0,7466.0,2420,449.0,2022-08-12
126,18000000.0,6645000.0,6307137,5401.0,7466.0,2420,459.0,2022-08-15
127,18000000.0,6645000.0,6307137,5514.0,7698.0,2420,459.0,2022-08-16
128,18000000.0,6645000.0,6307137,5514.0,7698.0,2420,459.0,2022-08-17
129,18000000.0,6645000.0,6307137,5514.0,7698.0,2420,459.0,2022-08-18
130,18000000.0,6645000.0,6307137,5514.0,7698.0,2420,459.0,2022-08-19
131,18000000.0,6645000.0,6307137,5514.0,7698.0,2420,459.0,2022-08-20
132,18000000.0,6645000.0,6307137,5514.0,7698.0,2420,459.0,2022-08-21
133,18000000.0,6645000.0,6307137,5587.0,7890.0,2420,461.0,2022-08-22
134,18000000.0,6975000.0,6307137,5587.0,7890.0,2420,461.0,2022-08-23
135,18000000.0,6975000.0,6307137,5587.0,7890.0,2420,473.0,2022-08-24
136,18000000.0,6975000.0,6858825,5663.0,8055.0,2420,473.0,2022-08-25
137,18000000.0,6975000.0,6858825,5663.0,8055.0,2420,478.0,2022-08-26
138,18000000.0,6975000.0,6858825,5663.0,8055.0,2420,483.0,2022-08-29
139,18000000.0,6975000.0,6858825,5663.0,8055.0,2420,492.0,2022-08-30
140,18000000.0,6975000.0,6858825,5663.0,8055.0,2420,495.0,2022-08-31
141,18000000.0,6975000.0,6858825,5663.0,8055.0,2420,495.0,2022-09-01
142,18000000.0,6975000.0,6858825,5663.0,8055.0,2420,495.0,2022-09-02
143,18000000.0,6975000.0,6858825,5718.0,8199.0,2420,495.0,2022-09-04
144,18000000.0,6975000.0,6858825,5718.0,8199.0,2420,512.0,2022-09-05
145,18000000.0,6975000.0,6858825,5718.0,8199.0,2420,512.0,2022-09-06
146,18000000.0,6975000.0,6858825,5718.0,8199.0,2420,516.0,2022-09-07
147,18000000.0,6975000.0,6858825,5718.0,8199.0,2420,516.0,2022-09-08
148,18000000.0,6975000.0,6858825,5718.0,8199.0,2420,531.0,2022-09-09
149,18000000.0,6975000.0,7156748,5718.0,8199.0,2461,531.0,2022-09-12
150,18000000.0,6975000.0,7156748,5827.0,8421.0,2461,531.0,2022-09-13
151,18000000.0,6975000.0,7156748,5827.0,8421.0,2461,531.0,2022-09-14
152,18000000.0,6975000.0,7156748,5827.0,8421.0,2461,531.0,2022-09-15
153,18000000.0,6975000.0,7156748,5827.0,8421.0,2461,550.0,2022-09-16
154,18000000.0,6975000.0,7156748,5916.0,8616.0,2461,550.0,2022-09-19
155,18000000.0,6975000.0,7156748,5916.0,8616.0,2461,550.0,2022-09-20
156,18000000.0,6975000.0,7278696,5916.0,8616.0,2528,550.0,2022-09-21
157,18000000.0,6975000.0,7278696,5916.0,8616.0,2528,550.0,2022-09-22
158,18000000.0,6975000.0,7404007,5916.0,8616.0,2528,550.0,2022-09-23
159,18000000.0,6243000.0,7404007,5996.0,8848.0,2528,550.0,2022-09-26
160,18000000.0,6243000.0,7404007,5996.0,8848.0,2528,550.0,2022-09-27
161,18000000.0,6243000.0,7404007,5996.0,8848.0,2528,550.0,2022-09-28
162,18000000.0,6243000.0,7535874,5996.0,8848.0,2528,550.0,2022-09-29
163,18000000.0,6243000.0,7535874,5996.0,8848.0,2528,550.0,2022-09-30
164,18000000.0,6243000.0,7535874,6114.0,9132.0,2528,550.0,2022-10-03
165,18000000.0,6243000.0,7535874,6114.0,9132.0,2528,550.0,2022-10-04
166,18000000.0,6243000.0,7535874,6114.0,9132.0,2528,550.0,2022-10-05
167,18000000.0,6243000.0,7535874,6114.0,9132.0,2528,550.0,2022-10-06
168,18000000.0,6243000.0,7535874,6114.0,9132.0,2528,600.0,2022-10-07
169,18000000.0,6243000.0,7535874,6221.0,9371.0,2528,607.0,2022-10-10
170,18000000.0,6243000.0,7535874,6221.0,9371.0,2528,607.0,2022-10-11
171,18000000.0,6243000.0,7535874,6221.0,9371.0,2528,607.0,2022-10-12
172,18000000.0,6243000.0,7535874,6221.0,9371.0,2528,607.0,2022-10-13
173,18000000.0,6243000.0,7671584,6221.0,9371.0,2528,620.0,2022-10-14
174,18000000.0,6243000.0,7671584,6306.0,9602.0,2528,623.0,2022-10-17
175,18000000.0,6243000.0,7671584,6306.0,9602.0,2528,623.0,2022-10-18
176,18000000.0,6243000.0,7671584,6306.0,9602.0,2528,623.0,2022-10-19
177,18000000.0,6243000.0,7671584,6306.0,9602.0,2528,631.0,2022-10-20
178,18000000.0,6243000.0,7671584,6306.0,9602.0,2528,631.0,2022-10-21
179,18000000.0,6243000.0,7671584,6374.0,9776.0,2528,631.0,2022-10-24
180,18000000.0,6243000.0,7751169,6374.0,9776.0,2528,631.0,2022-10-25
181,18000000.0,6243000.0,7751169,6374.0,9776.0,2528,631.0,2022-10-26
182,18000000.0,6540000.0,7751169,6374.0,9776.0,2528,631.0,2022-10-27
183,18000000.0,6540000.0,7751169,6374.0,9776.0,2528,631.0,2022-10-28
184,18000000.0,6540000.0,7751169,6430.0,9865.0,2528,631.0,2022-10-31
185,18000000.0,6540000.0,7785514,6430.0,9865.0,2528,631.0,2022-11-01
186,18000000.0,6540000.0,7785514,6430.0,9865.0,2528,631.0,2022-11-02
187,18000000.0,6540000.0,7785514,6430.0,9865.0,2528,631.0,2022-11-03
188,18000000.0,6540000.0,7785514,6430.0,9865.0,2528,645.0,2022-11-04
189,18000000.0,6540000.0,7785514,6490.0,9972.0,2528,663.0,2022-11-07
190,18000000.0,6540000.0,7785514,6490.0,9972.0,2528,663.0,2022-11-08
191,18000000.0,6540000.0,7785514,6490.0,9972.0,2528,663.0,2022-11-09
192,18000000.0,6540000.0,7785514,6490.0,9972.0,2528,663.0,2022-11-10
193,18000000.0,6540000.0,7785514,6490.0,9972.0,2528,663.0,2022-11-11
194,18000000.0,6540000.0,7785514,6557.0,10074.0,2528,663.0,2022-11-14
195,18000000.0,6540000.0,7843714,6557.0,10074.0,2528,688.0,2022-11-15
196,18000000.0,6540000.0,7843714,6557.0,10074.0,2528,688.0,2022-11-16
197,18000000.0,6540000.0,7843714,6557.0,10074.0,2528,688.0,2022-11-17
198,18000000.0,6540000.0,7843714,6557.0,10074.0,2528,688.0,2022-11-18
199,18000000.0,6540000.0,7843714,6595.0,10189.0,2528,703.0,2022-11-21
200,18000000.0,6540000.0,7867219,6595.0,10189.0,2528,703.0,2022-11-22
201,18000000.0,6540000.0,7867219,6595.0,10189.0,2528,703.0,2022-11-23
202,18000000.0,6540000.0,7867219,6595.0,10189.0,2528,703.0,2022-11-24
203,18000000.0,5914000.0,7867219,6595.0,10189.0,2528,703.0,2022-11-25
204,18000000.0,5914000.0,7867219,6655.0,10368.0,2528,715.0,2022-11-28
205,18000000.0,5914000.0,7867219,6655.0,10368.0,2528,715.0,2022-11-29
206,18000000.0,5914000.0,7867219,6655.0,10368.0,2528,715.0,2022-11-30
207,18000000.0,5914000.0,7867219,6655.0,10368.0,2528,715.0,2022-12-01
208,18000000.0,5914000.0,7867219,6702.0,10479.0,2528,715.0,2022-12-05
209,18000000.0,5914000.0,7832493,6702.0,10479.0,2528,715.0,2022-12-06
210,18000000.0,5914000.0,7832493,6702.0,10479.0,2528,715.0,2022-12-07
211,18000000.0,5914000.0,7832493,6702.0,10479.0,2528,715.0,2022-12-08
212,18000000.0,5914000.0,7832493,6702.0,10479.0,2528,715.0,2022-12-09
213,18000000.0,5914000.0,7832493,6755.0,10607.0,2528,715.0,2022-12-12
214,18000000.0,5914000.0,7832493,6755.0,10607.0,2528,715.0,2022-12-13
215,18000000.0,5914000.0,7832493,6755.0,10607.0,2528,715.0,2022-12-14
216,18000000.0,5914000.0,7832493,6755.0,10607.0,2528,715.0,2022-12-15
217,18000000.0,5914000.0,7832493,6755.0,10607.0,2528,715.0,2022-12-16
218,18000000.0,5914000.0,7832493,6826.0,10769.0,2528,716.0,2022-12-19
219,18000000.0,5914000.0,7863339,6826.0,10769.0,2528,716.0,2022-12-20
220,18000000.0,5914000.0,7863339,6826.0,10769.0,2528,725.0,2022-12-21
221,18000000.0,5914000.0,7863339,6826.0,10769.0,2528,725.0,2022-12-22
222,18000000.0,5914000.0,7863339,6826.0,10769.0,2528,725.0,2022-12-23
223,18000000.0,5914000.0,7863339,6884.0,10947.0,2528,725.0,2022-12-26
224,18000000.0,5914000.0,7896825,6884.0,10947.0,2528,745.0,2022-12-27
225,18000000.0,5914000.0,7896825,6884.0,10947.0,2528,745.0,2022-12-28
226,18000000.0,5914000.0,7896825,6884.0,10947.0,2528,745.0,2022-12-29
227,18000000.0,5914000.0,7896825,6884.0,10947.0,2528,745.0,2022-12-30
228,18000000.0,5914000.0,7896825,6919.0,11075.0,2528,747.0,2023-01-03
229,18000000.0,5914000.0,7896825,6919.0,11075.0,2528,747.0,2023-01-04
230,18000000.0,5914000.0,7896825,6919.0,11075.0,2528,747.0,2023-01-05
