,countries,Type of Aid General,Value committed,Value delivered,Ratio: Delivered to committed
0,Australia,Humanitarian,0.05138467497256472,0.0,0.0
1,Australia,Military,0.30625945387644443,0.17955719491495087,0.586291109195899
2,Austria,Financial,0.01,0.0,0.0
3,Austria,Humanitarian,0.5719933954658695,0.0,0.0
4,Austria,Military,0.006892236082884903,0.006892236082884903,1.0
5,Belgium,Financial,0.00496,0.0,0.0
6,Belgium,Humanitarian,0.11765,0.0,0.0
7,Belgium,Military,0.1114225,0.09142249999999999,0.8205030402297561
8,Bulgaria,Humanitarian,0.000706,0.0,0.0
9,Bulgaria,Military,0.004786746387643249,0.004786746387643249,1.0
10,Canada,Financial,2.139116022099448,0.0,0.0
11,Canada,Humanitarian,0.2878084714548803,0.0,0.0
12,Canada,Military,1.6400668271311578,0.8527753742067695,0.5199637966572762
13,China,Humanitarian,0.002074000331840053,0.0,0.0
14,Croatia,Humanitarian,0.0064415119932073875,0.0,0.0
15,Croatia,Military,0.01645085969008703,0.0,0.0
16,Cyprus,Humanitarian,0.0027637499999999997,0.0,0.0
17,Czech Republic,Humanitarian,0.1149703296569451,0.01084466874129883,0.09432580365436681
18,Czech Republic,Military,0.5397233292790962,0.3418739821381807,0.6334245039858085
19,Denmark,Financial,0.057499999999999996,0.0,0.0
20,Denmark,Humanitarian,0.07358330846673924,0.0,0.0
21,Denmark,Military,0.5829185497365486,0.3267797941415649,0.5605925464016436
22,EU (Commission and Council),Financial,28.32,0.0,0.0
23,EU (Commission and Council),Humanitarian,1.5699999999999998,0.0,0.0
24,Estonia,Humanitarian,0.006383642,0.001413414,0.22141185235638214
25,Estonia,Military,0.330661234,0.253781234,0.7674961800934911
26,European Investment Bank,Financial,2.0025,0.0,0.0
27,European Peace Facility,Military,3.1,0.0,0.0
28,Finland,Financial,0.0815,0.0,0.0
29,Finland,Humanitarian,0.04621519,0.0,0.0
30,Finland,Military,0.18826749999999998,0.1582675,0.8406522634018088
31,France,Financial,0.8,0.0,0.0
32,France,Humanitarian,0.16758409161449922,0.017830728899999995,0.10639869648854723
33,France,Military,0.591970541923868,0.35839119260155766,0.605420653934583
34,Germany,Financial,1.15,0.0,0.0
35,Germany,Humanitarian,1.95,0.0,0.0
36,Germany,Military,4.689774476913387,2.7548041563933645,0.5874065309439914
37,Greece,Humanitarian,0.0,0.0,
38,Greece,Military,0.3060440264825112,0.03990556951390135,0.1303915974853433
39,Hungary,Humanitarian,0.04789408203158184,0.0,0.0
40,India,Humanitarian,0.0019404583956153462,0.0,0.0
41,Ireland,Humanitarian,0.06873002689187843,0.0,0.0
42,Italy,Financial,0.31,0.0,0.0
43,Italy,Humanitarian,0.05104265689835576,0.0,0.0
44,Italy,Military,0.46106544299354474,0.4461006006096984,0.9675429104235517
45,Japan,Financial,0.5979073243647235,0.0,0.0
46,Japan,Humanitarian,0.00560039860488291,0.0,0.0
47,Japan,Military,0.004823447932237169,0.0,0.0
48,Latvia,Financial,0.015,0.0,0.0
49,Latvia,Humanitarian,0.001373725,0.00018300262,0.1332163424266138
50,Latvia,Military,0.29843953547322055,0.29843953547322055,1.0
51,Lithuania,Financial,0.005,0.0,0.0
52,Lithuania,Humanitarian,0.057,0.0,0.0
53,Lithuania,Military,0.211164757834579,0.1382526612725461,0.6547146535732523
54,Luxembourg,Humanitarian,0.004,0.0,0.0
55,Luxembourg,Military,0.07600000000000001,0.07600000000000001,1.0
56,Malta,Humanitarian,0.00115,0.0,0.0
57,Netherlands,Financial,0.34850000000000003,0.0,0.0
58,Netherlands,Humanitarian,0.21089695266567016,0.0,0.0
59,Netherlands,Military,0.43891021882995435,0.2677176711812215,0.609959986566051
60,New Zealand,Humanitarian,0.002348520432127759,0.0,0.0
61,New Zealand,Military,0.015384867792985236,0.0019102318136522173,0.1241630308011611
62,Norway,Financial,0.32416322344038784,0.0,0.0
63,Norway,Humanitarian,0.32561470056027014,0.0,0.0
64,Norway,Military,0.6659921815118583,0.2725478516469499,0.40923581269113896
65,Poland,Financial,1.0028667931673585,0.0,0.0
66,Poland,Humanitarian,0.1753413054309915,0.0,0.0
67,Poland,Military,2.5059998819487306,2.5059998819487306,1.0
68,Portugal,Financial,0.25,0.0,0.0
69,Portugal,Humanitarian,0.0012000000000000001,0.0,0.0
70,Portugal,Military,0.08791150956215046,0.0042,0.04777531430091917
71,Romania,Humanitarian,0.007960312514608018,0.0,0.0
72,Romania,Military,0.003,0.0,0.0
73,Slovakia,Humanitarian,0.005,0.0,0.0
74,Slovakia,Military,0.22472157538614848,0.1630340558046836,0.7254935603069503
75,Slovenia,Humanitarian,0.00246428,0.0,0.0
76,Slovenia,Military,0.05882101266766318,0.03170525266766318,0.5390123568051579
77,South Korea,Humanitarian,0.09088191330343795,0.0,0.0
78,South Korea,Military,0.0035675137020428497,0.0,0.0
79,Spain,Financial,0.2,0.2,1.0
80,Spain,Humanitarian,0.10132463935924266,0.0,0.0
81,Spain,Military,0.11121871322870613,0.08906323728872426,0.8007936317836895
82,Sweden,Financial,0.1524981442837856,0.0,0.0
83,Sweden,Humanitarian,0.10780913666852486,0.0,0.0
84,Sweden,Military,0.5590936301446587,0.056920912872931544,0.1018092673640441
85,Switzerland,Humanitarian,0.202984057027575,0.040551500405515,0.19977677557211382
86,Taiwan,Humanitarian,0.06826108619830593,0.0,0.0
87,Turkey,Humanitarian,0.0004614069157947184,0.0,0.0
88,Turkey,Military,0.06419880418535127,0.016714997508719482,0.2603630662724006
89,United Kingdom,Financial,2.55488208283456,0.0,0.0
90,United Kingdom,Humanitarian,0.39777831531548297,0.0035874439461883404,0.009018701643761284
91,United Kingdom,Military,4.84323278042106,1.5505675058548465,0.32015134852139887
92,United States,Financial,15.053313403089188,0.0,0.0
93,United States,Humanitarian,9.903936223218734,0.0,0.0
94,United States,Military,37.50913792568826,6.2215399562237925,0.16586731394759544
